type_of_marine_megafauna_subsidy,interaction_type,type_of_ecological_effect,marine_megafauna_group,marine_megafauna_common_name,marine_megafauna_species,consumer_species_common_name,consumer_species_name,description_of_effect,notes_on_methods,country,state_region,decimal_latitude,decimal_longitude,source,authors,link,notes
Marine Mammal Vectored,NA,Consumer behavior,Pinnipeds,Gray seal,Halichoerus grypus,Feral horse,Equus ferus caballus,"Marine subsidies vectored by colonies of gray seals alter protein content in vegetation, causing a behavioral response (selective foraging in marine subsidized locales) in feral horses.",NA,Canada,Nova Scotia,-0.61179,30.55573,Density-dependent resource selection by a terrestrial herbivore in response to sea-to-land nutrient transfer by seals,McLoughlin et al,10.1002/ecy.1451,NA
Marine Mammals as Food,Carcass scavenging,Consumer behavior,Cetaceans,Bowhead whale,Balaena mysticetus,Polar bear,Ursus maritimus,"Polar bears, when on land, are spatially aggregated near scavenge subsidies in the form of subsistence-hunted bowhead whale “bone piles.”",NA,"United States, Canada","Alaska, Yukon Territory",70.49158,-147.981573,Rapid Environmental Change Drives Increased Land Use by an Arctic Marine Predator,Atwood et al,10.1371/journal.pone.0155932,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Southern elephant seal,Mirounga leonina,NA,NA,"Nitrogen vectored by pinnipeds and penguins increases (1) the rate of ecosystem respiration (2-5x higher), (2) the abundance of terrestrial arthropods (2-8x), and (3) species richness of springtails and mites (1.2-2.4x).",NA,Antarctica,"Signy Island, Byers Peninsula, Marguerite Bay",-61.356701,-54.98262,Nitrogen Inputs by Marine Vertebrates Drive Abundance and Richness in Antarctic Terrestrial Ecosystems,Bokhorst et al,10.1016/j.cub.2019.04.038,NA
Marine Mammals as Food,Carcass scavenging,Consumer behavior,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,Brown skua,Stercorarius antarcticus,"Brown skuas on bird island spend the majority of the breeding season feeding exclusively in coastal areas, where they consume carcasses and placentae of antarctic fur seals.",NA,South Georgia (Great Britain),Bird Island,-54.008746,-38.050888,Foraging behaviour and habitat use by brown skuas Stercorarius lonnbergi breeding at South Georgia,Carneiro et al,http://link.springer.com/10.1007/s00227-014-2457-z,NA
Marine Mammals as Food,Carcass scavenging,Consumer abundance,Pinnipeds,South American sea lion,Otaria flavescens,Common vampire bat,Desmodus rotundus,"In the absence of vegetation and terrestrial mammals, large colonies of common vampire bats persist by feeding on the South American sea lion.",NA,Peru,Central Coast,-13.829305,-76.401777,Sea lion Otaria flavescens as host of the common vampire bat Desmodus rotundus,Catenazzi et al,http://www.int-res.com/abstracts/meps/v360/p285-289/,NA
"Marine Mammals as Food, Marine Mammal Carcasses as Habitat",NA,"Consumer behavior, Other",Pinnipeds,South American sea lion,Otaria flavescens,NA,Chinchippus peruvianus,"The solifuge Chinchippus peruvianus burrows in sand when disturbed, but in rocky areas sea lion carcasses provide alternative habitats for burrowing. Arthropod scavengers of pinniped carcasses are likely to be important dietary items for Chinchippus peruvianusm, based on the carbon and nitrogen isotopic values of two individuals.",NA,Peru,Paracas Natural Reserve,-13.85,-76.266667,"Natural history of coastal Peruvian solifuges with a redescription of Chinchippus peruvianus and an additional new species (Arachnida, Solifugae, Ammotrechidae)",Catenazzi et al,10.1636/H08-31.1,NA
Marine Mammals as Food,Carcass scavenging,Diet (KEEP B/C HISTORICAL),"Cetaceans, Pinnipeds",NA,NA,California condor,Gymnogyps californianus,"Marine mammals were an important component of the diet of endangered California condors in the Pleistocene, and may serve as an important food source for condors in the future.",NA,United States,"California, La Brea",34.063553,-118.357454,Pleistocene to recent dietary shifts in California condors,Chamberlain et al,http://www.pnas.org/cgi/doi/10.1073/pnas.0508529102,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Galapagos sea lion,Zalophus wollebaecki,NA,NA,"Galapágos sea lions are efficient vectors of marine nutrients into terrestrial ecosystem, leading to high nutrient concentrations and nutrient uptake by vegetation in low-elevation sites accessible to sea lions.",NA,Ecuador,Galapagos,-0.671062,-90.33521,Nutrient exchanges between marine and terrestrial ecosystems: the case of the Galapagos sea lion Zalophus wollebaecki,"Farina, JM; Salazar, S; Wallem, KP; Witman, JD; Ellis, JC",10.1046/j.1365-2656.2003.00760.x,NA
Marine Mammals as Food,Carcass scavenging,Consumer abundance,"Cetaceans, Pinnipeds",NA,NA,California condor,Gymnogyps californianus,"Scavenging of marine megafauna may have provided a buffer that enabled coastal california condor populations to persist from the Pleistocene into the Holocene, despite widespread extinctions of terrestrial megafauna and their scavengers.",NA,United States,"California, La Brea",34.063553,-118.357454,Dietary controls on extinction versus survival among avian megafauna in the late Pleistocene,"Fox-Dobbs, Kena; Stidham, Thomas A.; Bowen, Gabriel J.; Emslie, Steven D.; Koch, Paul L.",10.1130/G22571.1,NA
Marine Mammals as Food,Carcass scavenging,Consumer behavior,Pinnipeds,NA,NA,Giant petrels,Macronectes spp.,"Giant petrels exhibit two types of foraging trips: coastal trips (undertaken only by male northern giant petrels) to forage on seal and penguin carcasses, and pelagic trips for foraging at sea. Marine mammal carcass scavenging is sex-specific and involves notable changes in space use.",NA,South Georgia (Great Britain),Bird Island,-54.008746,-38.050888,"Activity patterns of giant petrels, Macronectes spp., using different foraging strategies",Gonzalez-Solis et al.,10.1007/s002270100684,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and penguins),NA,NA,NA,NA,"Patches of Antarctic snow algae, one of the regions most significant primary producers and an important carbon sink, are associated with coastal areas and fertilized by seal and penguin faeces. Fertilization likely leads to elevated snow algae growth rates.",NA,Antarctica,"Adelaide Island, King George Island","-65.273438, -64.792079",NA,Remote sensing reveals Antarctic green snow algae as important terrestrial carbon sink,Gray et al,10.1038/s41467-020-16018-w,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,NA,NA,Increased vegetation disturbance and nutrient enrichment by Antarctic fur seals is associated with negative effects for disturbance-sensitive native vegetation and positive effects for invasive plant species. In nutrient-poor sub-Antarctic ecosystems the combination of disturbance by seal trampling and fertilization by seal manure creates a competitive advantage for exotic species over slow-growing natives.,NA,South Africa,Marion Island,-46.8964,37.7509,Fur seal populations facilitate establishment of exotic vascular plants,Haussmann et al,10.1016/j.biocon.2013.03.024,NA
Marine Mammals as Food,"Predation, Carcass scavenging",Consumer behavior,Pinnipeds,Harbor seal,Phoca vitulina,Bald eagle,Haliaeetus leeucocephalus,"Harbor seal placentae and dead pups constitute a major component of the diet of bald eagles on Protection Island, WA. Eagles were more likely to land on seal haul-out beaches than in gull-nesting areas, and the presence of bald eagles was possitively associated with harbor seal presence. Three live predation events on harbor seal pups documented in Hayward (2009).",NA,United Stated,"Protection Island, Washington",48.126684,-122.910327,Foraging-Related Activity of Bald Eagles at a Washington Seabird Colony and Seal Rookery,Hayward et al,http://www.bioone.org/doi/abs/10.3356/JRR-08-107.1,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and penguins),NA,NA,NA,NA,Nutrient cycling was greatly influenced by inputs from penguin and seal excreta in the maritime Antarctic (Signy Island).,NA,Antarctica,South Orkney Islands,-60.7166667,-45.6333333,Biogeochemistry of snowmelt in an Antarctic glacial ecosystem,Hodson,10.1029/2005WR004311,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and seabirds),NA,NA,NA,NA,"High measures of soil organic carbon, total nitrogen, and soil microbial biomass are ""probably linked"" to more abundant excreta and guano deposition by seals and seabirds.",NA,Antarctica,69 sites from Alexander Island to South Geogia,-64.404183,-60.723056,Lean and keen: Microbial activity in soils from the Maritime Antarctic,Hopkins et al.,10.1111/ejss.12957,NA
Marine Mammals as Food,Carcass scavenging,Consumer health,"Cetaceans, Pinnipeds",NA,NA,California condor,Gymnogyps californianus,Marine mammal scavenging by coastal California condors exposes condors to potentially harmful levels of a suite of marine contaminants.,NA,United States,Southern and Central California,36.47562,-121.182272,Terrestrial Scavenging of Marine Mammals: Cross-Ecosystem Contaminant Transfer and Potential Risks to Endangered California Condors (Gymnogyps californianus),Kurle et al,10.1021/acs.est.6b01990,NA
Marine Mammals as Food,Carcass scavenging,Consumer health,"Cetaceans, Pinnipeds",NA,NA,California condor,Gymnogyps californianus,Individual propensities for contaminant-associated foraging behaviors (i.e. marine mammal scavenging) predict higher stress-induced glucocorticoid levels in wild condors.,NA,United States,Central California,36.47562,-121.182272,"Foraging behavior, contaminant exposure risk, and the stress response in wild California condors (Gymnogyps californianus)",Glucs et al,10.1016/j.envres.2020.109905,NA
Marine Mammals as Food,Carcass scavenging,Consumer health,"""Marine Mammals""",NA,NA,Wolverine,Gulo gulo,"Wolverine liver contaminant profiles suggest that contamination from marine mammal sources, with potentially severe health consequences.",NA,Canada,"Kugluktuk (Coppermine), Nunanvut",67.821342,-115.102593,"Profile of persistent chlorinated contaminants, including selected chiral compounds, in wolverine (Gulo gulo) livers from the Canadian Arctic",Hoekstra et al,10.1016/S0045-6535(03)00514-9,NA
Marine Mammals as Food,Carcass scavenging,Consumer behavior,"""Marine Mammals""",NA,NA,Arctic fox,Alopex lagopus,"The ability to detect food across long distances enables arctic foxes to detect marine-mammal carcasses far beyond their home ranges, allowing for more efficient utilization of marine foods (and potentially elevated rates of marine-to-terrestrial nutrient transfer). Marine mammal scavenging alters fox diet and space use.",NA,Canada,"Bylot Island, Nunavut",72.947301,-79.60161,Spatio–temporal hotspots of satellite–tracked arctic foxes reveal a large detection range in a mammalian predator,Lai et al.,10.1186/s40462-015-0065-2,NA
Marine Mammals as Food,"Predation, Carcass scavenging","Consumer health, Consumer behavior",Cetaceans,Multiple spp.,NA,Polar bear,Ursus maritimus,"Climate change threatens the ability of polar bears to hunt seals on sea ice, yet scavenging of large whale carcasses may have provided a nutritional refuge for polar bears during past interglacial periods and into a future ice-free arctic. Cetacean carcasses can be a large component of polar bear diets and alter polar bear space use, intraspecific interactions, abundance, and resilience to climate change.",NA,NA,"Circumpolar Arctic. Data from Chukchi Sea (Russia, United States)",66.895482,-172.178139,Historical and potential future importance of large whales as food for polar bears,Laidre et al,https://onlinelibrary.wiley.com/doi/10.1002/fee.1963,NA
