Spp.ID,Group,Taxa,Common Name,Scientific Name,DPS/Stock,ESA T/E,Waters,Year Listed,CH Year,RP Year,MMPA,CITES,Pop_Location,Time,Estimate,Measure_Precision,Measure_variation,Measure_Unit,Weigth(kg),Length(m),Lifespan(yrs),Maturity(yrs),Diet,Behavior,MinPopEstimate,PBR,Growth Rate(%),Mortality(per/yr),Conservation_actions,ESA agency region,ESA agency secondary,Main Threat,PrimarySource,PrimarySourceType,DataSource,RP_History,RP_Status,CH_History,CH Final 1 size,CH Last Final date,CH Last Final size,CH_Current,CH Note,PROJECT PopsNumber,Index_Species,Index_Species_Narr,Index_Use_narr,Pop_CaptiveWild,Pop_Extent,Measure_Type,PointBeforeListingGap,PopNotes,Measure_Method,ListPeriod,DataNotes,DataResearch
1,Marine mammal,Cetacean,Baiji,Lipotes vexillifer,NA,Endangered,F,1989,NA,NA,depleted,Appendix I,Yangtze River,1981,400,,,Individuals,,3,,5,,"Social, small groups",,,-5.8,,,Marine,,,NOAA Fisheries 2012. Baiji/Chinese River Dolphin/Yangtze River Dolphin (Lipotes vexillifer) 5-Year Review: Summary and Evaluation http://www.nmfs.noaa.gov/pr/pdfs/species/baiji_5yearreview.pdf,Report (GOV),Zhou (1982),,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Before,,
1,Marine mammal,Cetacean,Baiji,Lipotes vexillifer,NA,Endangered,F,1989,NA,NA,depleted,Appendix I,Yangtze River,1986,300,,,Individuals,,3,,5,,"Social, small groups",,,-5.8,,,Marine,,,NOAA Fisheries 2012. Baiji/Chinese River Dolphin/Yangtze River Dolphin (Lipotes vexillifer) 5-Year Review: Summary and Evaluation http://www.nmfs.noaa.gov/pr/pdfs/species/baiji_5yearreview.pdf,Report (GOV),Chen and Hua (1989),,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Before,,
1,Marine mammal,Cetacean,Baiji,Lipotes vexillifer,NA,Endangered,F,1989,NA,NA,depleted,Appendix I,Yangtze River,1989,100,,,Individuals,,3,,5,,"Social, small groups",,,-5.8,,,Marine,,,NOAA Fisheries 2012. Baiji/Chinese River Dolphin/Yangtze River Dolphin (Lipotes vexillifer) 5-Year Review: Summary and Evaluation http://www.nmfs.noaa.gov/pr/pdfs/species/baiji_5yearreview.pdf,Report (GOV),Zhou and Li (1989),,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Within,,
1,Marine mammal,Cetacean,Baiji,Lipotes vexillifer,NA,Endangered,F,1989,NA,NA,depleted,Appendix I,Yangtze River,1999,13,,,Individuals,,3,,5,,"Social, small groups",,,-5.8,,,Marine,,,NOAA Fisheries 2012. Baiji/Chinese River Dolphin/Yangtze River Dolphin (Lipotes vexillifer) 5-Year Review: Summary and Evaluation http://www.nmfs.noaa.gov/pr/pdfs/species/baiji_5yearreview.pdf,Report (GOV),Zhang et al. (2003),,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Within,,
1,Marine mammal,Cetacean,Baiji,Lipotes vexillifer,NA,Endangered,F,1989,NA,NA,depleted,Appendix I,Yangtze River,2002,1,,,Individuals,,3,,5,,"Social, small groups",,,-5.8,,,Marine,,,NOAA Fisheries 2012. Baiji/Chinese River Dolphin/Yangtze River Dolphin (Lipotes vexillifer) 5-Year Review: Summary and Evaluation http://www.nmfs.noaa.gov/pr/pdfs/species/baiji_5yearreview.pdf,Report (GOV),Turvey et al. 2007,,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Within,,
1,Marine mammal,Cetacean,Baiji,Lipotes vexillifer,NA,Endangered,F,1989,NA,NA,depleted,Appendix I,Yangtze River,2006,0,,,Individuals,,3,,5,,"Social, small groups",,,-5.8,,,Marine,,,NOAA Fisheries 2012. Baiji/Chinese River Dolphin/Yangtze River Dolphin (Lipotes vexillifer) 5-Year Review: Summary and Evaluation http://www.nmfs.noaa.gov/pr/pdfs/species/baiji_5yearreview.pdf,Report (GOV),"Turvey 2008; Turvey et
 al. 2007",,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Within,,
2,Marine mammal,Cetacean,Indus River dolphin,Platanista gangetica minor,NA,Endangered,F,1991,NA,NA,depleted,Appendix I,Indus River,,,,,Individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Within,,
3,Marine mammal,Cetacean,Vaquita,Phocoena sinus,NA,Endangered,F,1985,NA,NA,depleted,Appendix I,Gulf of California,1993,664,422-997,95% PI,Individuals,42.5,1.35,20,4.5,"fish, crabs, squids, octopus",elusive,,,-4.16,,,Marine,,Gillnet,"Gerrodette T, Rojas-Bracho L. 2011. Estimating the success of protected areas for the vaquita, Phocoena sinus. Marine Mammal Science 27:E101?E125.",Academic Journal,"Gerrodette T, Rojas-Bracho L. 2011. Estimating the success of protected areas for the vaquita, Phocoena sinus. Marine Mammal Science 27:E101?E125.",,,,,,,,,,Yes,,,Wild,Entire,Abundance,,Digitized from Fig 7a,,Within,,
3,Marine mammal,Cetacean,Vaquita,Phocoena sinus,NA,Endangered,F,1985,NA,NA,depleted,Appendix I,Gulf of California,1997,567,361-732,95% CI,Individuals,42.5,1.35,20,4.5,"fish, crabs, squids, octopus",elusive,,,-4.16,,,Marine,,Gillnet,"Gerrodette T, Rojas-Bracho L. 2011. Estimating the success of protected areas for the vaquita, Phocoena sinus. Marine Mammal Science 27:E101?E125.",Academic Journal,"Gerrodette T, Rojas-Bracho L. 2011. Estimating the success of protected areas for the vaquita, Phocoena sinus. Marine Mammal Science 27:E101?E125.",,,,,,,,,,Yes,,,Wild,Entire,Abundance,,Digitized from Fig 7a,,Within,,
3,Marine mammal,Cetacean,Vaquita,Phocoena sinus,NA,Endangered,F,1985,NA,NA,depleted,Appendix I,Gulf of California,2008,214,135-326,95% PI,Individuals,42.5,1.35,20,4.5,"fish, crabs, squids, octopus",elusive,,,-4.16,,,Marine,,Gillnet,"Gerrodette T, Rojas-Bracho L. 2011. Estimating the success of protected areas for the vaquita, Phocoena sinus. Marine Mammal Science 27:E101?E125.",Academic Journal,"Gerrodette T, Rojas-Bracho L. 2011. Estimating the success of protected areas for the vaquita, Phocoena sinus. Marine Mammal Science 27:E101?E125.",,,,,,,,,,Yes,,,Wild,Entire,Abundance,,Digitized from Fig 7a,,Within,,
3,Marine mammal,Cetacean,Vaquita,Phocoena sinus,NA,Endangered,F,1985,NA,NA,depleted,Appendix I,Gulf of California,2015,59,22-145,95% CRI,Individuals,42.5,1.35,20,4.5,"fish, crabs, squids, octopus",elusive,,,-4.16,,,Marine,,Gillnet,"Taylor, B. L., Rojas?Bracho, L., Moore, J., Jaramillo?Legorreta, A., Ver Hoef, J. M., Cardenas?Hinojosa, G., ... & Thomas, L. (2016). Extinction is Imminent for Mexico's Endemic Porpoise Unless Fishery Bycatch is Eliminated. Conservation Letters. http://onlinelibrary.wiley.com/doi/10.1111/conl.12331/full",Academic Journal,"Taylor, B. L., Rojas?Bracho, L., Moore, J., Jaramillo?Legorreta, A., Ver Hoef, J. M., Cardenas?Hinojosa, G., ... & Thomas, L. (2016). Extinction is Imminent for Mexico's Endemic Porpoise Unless Fishery Bycatch is Eliminated. Conservation Letters. http://onlinelibrary.wiley.com/doi/10.1111/conl.12331/full",,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Within,,
3,Marine mammal,Cetacean,Vaquita,Phocoena sinus,NA,Endangered,F,1985,NA,NA,depleted,Appendix I,Gulf of California,2016,30,8-96.,95% CRI,Individuals,42.5,1.35,20,4.5,"fish, crabs, squids, octopus",elusive,,,-4.16,,,Marine,,Gillnet,"CIRVA 2016, Eighth Meeting of the Comit‚ Internacional para la recuperaci¢n de la Vaquita (CIRVA - 8) Southwest Fisheries Science Center, November 29-30th, 2016 La Jolla, CA",Academic Journal,"CIRVA 2016, Eighth Meeting of the Comit‚ Internacional para la recuperaci¢n de la Vaquita (CIRVA - 8) Southwest Fisheries Science Center, November 29-30th, 2016 La Jolla, CA",,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Within,,
4a,Marine mammal,Cetacean,Beluga whale,Delphinapterus leucas,Cook Inlet DPS,Endangered,US,2008,2011,2017,depleted,Appendix II,Cook Inlet,1994,653,0.24,CV,Individuals,,,,,,,,,,,,Marine,,Multiple,"Hobbs, R. C., K. E. W. Shelden, D. J. Rugh, C. L. Sims, and J. M. Waite. 2015. Estimated abundance and trend in aerial counts of beluga whales, Delphinapterus leucas , in Cook Inlet, Alaska, 1994-2012. Mar. Fish. Rev. 77(1):11-31. DOI: dx.doi.org/10.7755/MFR.77.1.2.  ",Academic Journal,"Hobbs, R. C., K. E. W. Shelden, D. J. Rugh, C. L. Sims, and J. M. Waite. 2015. Estimated abundance and trend in aerial counts of beluga whales, Delphinapterus leucas , in Cook Inlet, Alaska, 1994-2012. Mar. Fish. Rev. 77(1):11-31. DOI: dx.doi.org/10.7755/MFR.77.1.2.  ",,,,,,,,,,Yes,,,Wild,Entire,Abundance,,,,Before,,
