Marine Megafauna Group,Marine Megafauna Common Name,Marine Megafauna Species,Consumer Class,Consumer Group,Consumer Common Name,Consumer Species,Scavenging,Predation,Consuming Placenta,Consuming Excreta,Consuming Eggs,Interaction Type Unknown,Notes,Source 1 Type,Source 1 Interaction Type,Source 1 Title,Source 1 Authors,Source 1 Link,Source 2 Type,Source 2 Interaction Type,Source 2 Title,Source 2 Authors,Source 2 Link,Source 3 Type,Source 3 Interaction Type,Source 3 Title,Source 3 Authors,Source 3 Link,Source 4 Link,Source 5 Link
Cetaceans,"""cetacean""",,Carnivore,Hyena,Brown hyaena,Parahyaena brunnea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Diet of brown hyaenas (Parahyaena brunnea) on the Namibian coast,Kuhn et al (2010),https://doi.org/10.1080/00359190809519219,,,,,,,,,,,,
Cetaceans,"""dolphin""",,Carnivore,Felid,Jaguar,Panthera onca,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Behaviour of two male jaguars scavenging on a marine dolphin in Honduras,Castañeda et al (2013),https://www.academia.edu/5914704/Male_Jaguars_scavenging_on_a_marine_dolphin_carcass_in_northwestern_Honduras,,,,,,,,,,,,
Cetaceans,"""dolphin""",,Carnivore,Canid,Black-backed jackal,Canis mesomelas,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prey remains from jackal middens,Peer-reviewed article,Unknown,"Prey of coastal black‐backed jackal Canis mesomelas (Mammalia: Canidae) in the Skeleton Coast Park, Namibia",Avery et al,https://doi.org/10.1111/j.1469-7998.1987.tb03679.x,,,,,,,,,,,,
Cetaceans,"""whales""",,Carnivore,Mustelid,Wolverine,Gulo gulo,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Notes on the Wolverine in Alaska and the Yukon Territory,Rausch et al,https://doi.org/10.2307/3799057,,,,,,,,,,,,
Cetaceans,"""whales""",,Bird,Bird,California condor,Gymnogyps californianus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Pleistocene to recent dietary shifts in California condors,Chamberlain et al,https://doi.org/10.1073/pnas.0508529102,,,,,,,,,,,,
Cetaceans,"""whales""",,Bird,Bird,Andean condor,Vultur gryphus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,"Tracking data and retrospective analyses of diet reveal the consequences of loss of marine subsidies for an obligate scavenger, the Andean condor",Lambertucci et al,https://doi.org/10.1098/rspb.2018.0550,,,,,,,,,,,,
Cetaceans,"""baleen whale""",,Carnivore,Canid,Black-backed jackal,Canis mesomelas,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prey remains from jackal middens,Peer-reviewed article,Unknown,"Prey of coastal black‐backed jackal Canis mesomelas (Mammalia: Canidae) in the Skeleton Coast Park, Namibia",Avery et al,https://doi.org/10.1111/j.1469-7998.1987.tb03679.x,,,,,,,,,,,,
Cetaceans,Beluga,Delphinapterus leucas,Carnivore,Ursid,Polar bear,Ursus maritimus,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Predation,Historical and potential future importance of large whales as food for polar bears,Laidre et al.,https://doi.org/10.1002/fee.1963,Peer-reviewed article,Predation,PREDATION OF BELUGAS AND NARWHALS BY POLAR BEARS IN NEARSHORE AREAS OF THE CANADIAN HIGH ARCTIC,"SMITH, TG; SJARE, B",,Peer-reviewed article,Unknown,"Diet energy density estimated from isotopes in predator hair associated with survival, habitat, and population dynamics","Rode, KD; Taras, BD; Stricker, CA; Atwood, TC; Boucher, NP; Durner, GM; Derocher, AE; Richardson, ES; Cherry, SG; Quakenbush, L; Horstmann, L; Bromaghin, JF",http://dx.doi.org/10.1002/eap.2751,,
Cetaceans,Beluga,Delphinapterus leucas,Carnivore,Canid,Gray wolf,Canis lupus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,The Ilnik wolf Canis lupus pack: use of marine mammals and offshore sea ice,Watts et al,https://doi.org/10.2981/09-040,,,,,,,,,,,,
Cetaceans,Bowhead whale,Balaena mysticetus,Carnivore,Ursid,Polar bear,Ursus maritimus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Historical and potential future importance of large whales as food for polar bears,Laidre et al.,https://doi.org/10.1002/fee.1963,Peer-reviewed article,Scavenging,"Observations of Beachcast Bowhead Whales (Balaena mysticetus) in the Southeastern Beaufort Sea and Amundsen Gulf, 1987–2016",Harwood et al,https://www.canadianfieldnaturalist.ca/index.php/cfn/article/view/2028,Peer-reviewed article,Unknown,"Diet energy density estimated from isotopes in predator hair associated with survival, habitat, and population dynamics","Rode, KD; Taras, BD; Stricker, CA; Atwood, TC; Boucher, NP; Durner, GM; Derocher, AE; Richardson, ES; Cherry, SG; Quakenbush, L; Horstmann, L; Bromaghin, JF",http://dx.doi.org/10.1002/eap.2751,,
