Record_Lotze_Worm,Species group,Species detail,Region,Ocean habitat,Discipline,Analytical method,Metric used (unit),Data detail,"Time period
Then to Now","Low
year","Then
unit","Low
unit","Now
unit","All species
% Decline
Then to Low","% Decline
Then to Now","% Left
Low","% Left
Now",Recovered only % Left Low,"Recovered only % Left
Now",Ref_No_Lotze_Worm
178,Whales,Humpback whale,N Atlantic,Shelf,Genetic,Then-Now,pre-whaling abundance,genetic diversity,<1800-2000,,"240,000",,"10,000",95.83,95.83,4.17,4.17,,,63
179,Whales,Fin whale,N Atlantic,Shelf,Genetic,Then-Now,pre-whaling abundance,genetic diversity,<1800-2000,,"360,000",,"56,000",84.44,84.44,15.56,15.56,,,63
180,Whales,Minke whale,N Atlantic,Shelf,Genetic,Then-Now,pre-whaling abundance,genetic diversity,<1800-2000,,"265,000",,"149,000",43.77,43.77,56.23,56.23,,,63
181,Whales,Gray whale,EN Pacific,Shelf,Genetic,Then-Now,pre-whaling abundance,genetic diversity,<1800-2000,1900,"96,000",2000,"22,000",97.92,77.08,2.08,22.92,2.08,22.92,"64, 65"
182,Whales,Bowhead whale,Davis Strait,Shelf,Historical,Then-Now,abundance,catch records,<1700-2000,,"11,900",,300,97.48,97.48,2.52,2.52,,,66
183,Whales,Right whale,NW Atlantic,Shelf,Historical,Then-Now,abundance,catch records,<1500-2000,1935,"10,000",58,300,99.42,97,0.58,3,0.58,3,67
184,Whales,Right whale,N Pacific,Shelf,Historical,Then-Now,encounter rate,"encounter rate of whales, maps and logbooks",1840-1850,,50,,5,90,90,10,10,,,68
185,Whales,"Right whale, southern",Southern Ocean,Shelf,Historical,Hind-casting,pre-whaling abundance,"recent abundance, catch data",<1800-1997,1920,"80,000",60,"7,600",99.93,90.5,0.08,9.5,0.08,9.5,"69, 70"
186,Whales,Sperm whale,Global Ocean,Ocean,Historical,Hind-casting,pre-whaling abundance,"recent abundance, catch data",<1800-1999,1975,"1,110,000",300000,"360,000",72.97,67.57,27.03,32.43,27.03,32.43,71
187,Whales,Humback whale,"West Indies, breeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,"17,500",4000,"10,752",77.14,38.56,22.86,61.44,22.86,61.44,72
188,Whales,Humback whale,"West Indies, breeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,"23,000",6000,"9,000",73.91,60.87,26.09,39.13,26.09,39.13,72
