title,authors,link
Rapid Environmental Change Drives Increased Land Use by an Arctic Marine Predator,Atwood et al,10.1371/journal.pone.0155932
Foraging behaviour and habitat use by brown skuas Stercorarius lonnbergi breeding at South Georgia,Carneiro et al,http://link.springer.com/10.1007/s00227-014-2457-z
"Natural history of coastal Peruvian solifuges with a redescription of Chinchippus peruvianus and an additional new species (Arachnida, Solifugae, Ammotrechidae)",Catenazzi et al,10.1636/H08-31.1
Pleistocene to recent dietary shifts in California condors,Chamberlain et al,http://www.pnas.org/cgi/doi/10.1073/pnas.0508529102
Dietary controls on extinction versus survival among avian megafauna in the late Pleistocene,"Fox-Dobbs, Kena; Stidham, Thomas A.; Bowen, Gabriel J.; Emslie, Steven D.; Koch, Paul L.",10.1130/G22571.1
"Activity patterns of giant petrels, Macronectes spp., using different foraging strategies",Gonzalez-Solis et al.,10.1007/s002270100684
Foraging-Related Activity of Bald Eagles at a Washington Seabird Colony and Seal Rookery,Hayward et al,http://www.bioone.org/doi/abs/10.3356/JRR-08-107.1
Terrestrial Scavenging of Marine Mammals: Cross-Ecosystem Contaminant Transfer and Potential Risks to Endangered California Condors (Gymnogyps californianus),Kurle et al,10.1021/acs.est.6b01990
"Foraging behavior, contaminant exposure risk, and the stress response in wild California condors (Gymnogyps californianus)",Glucs et al,10.1016/j.envres.2020.109905
"Profile of persistent chlorinated contaminants, including selected chiral compounds, in wolverine (Gulo gulo) livers from the Canadian Arctic",Hoekstra et al,10.1016/S0045-6535(03)00514-9
Spatio–temporal hotspots of satellite–tracked arctic foxes reveal a large detection range in a mammalian predator,Lai et al.,10.1186/s40462-015-0065-2
Historical and potential future importance of large whales as food for polar bears,Laidre et al,https://onlinelibrary.wiley.com/doi/10.1002/fee.1963
"Tracking data and retrospective analyses of diet reveal the consequences of loss of marine subsidies for an obligate scavenger, the Andean condor",Lambertucci et al,10.1098/rspb.2018.0550
Contributions from terrestrial and marine resources stabilize predator populations in a rapidly changing climate,Nater et al,10.1002/ecs2.3546
"Gull diets reveal dietary partitioning, influences of isotopic signatures on body condition, and ecosystem changes at a remote colony",Ronconi et al,http://www.int-res.com/abstracts/meps/v514/p247-261/
"Sexual dimorphism and sexual segregation in foraging strategies of northern giant petrels, Macronectes halli, during incubation.",González-Solís et al.,10.1034/j.1600-0706.2000.900220.x
The Distribution and Abundance of Coyotes: The Effects of Allochthonous Food Subsidies from the Sea,Rose and Polis (1998),https://doi.org/10.1890/0012-9658(1998)079[0998:TDAAOC]2.0.CO;2
Recovery of a marine keystone predator transforms terrestrial predator–prey dynamics,Roffler et al,10.1073/pnas.2209037120
Space and resource use by brown hyenas Hyaena brunnea in the Namib Desert,Skinner et al,10.1111/j.1469-7998.1995.tb02751.x
Correlates between Feeding Ecology and Mercury Levels in Historical and Modern Arctic Foxes (Vulpes lagopus),Bocharova et al.,10.1371/journal.pone.0060879
Mercury in gray wolves (Canis lupus) in Alaska: Increased exposure through consumption of marine prey,McGrew et al 2014,10.1016/j.scitotenv.2013.08.045
Conservation and the scarecrow effect: Can human activity benefit threatened species by displacing predators?,"Leighton, PA; Horrocks, JA; Kramer, DL",http://dx.doi.org/10.1016/j.biocon.2010.05.028
(PREPRINT) Marine resources alter tundra food web dynamics bu subsidizing a terrestrial predator on the sea ice,Johnson-Bice et al.,https://doi.org/10.32942/X27P6Z
Loss of sea turtle eggs drives the collapse of an insular reptile community,"Lin, JW; Liao, CP; Chou, CC; Clark, RW; Tseng, HY; Hsu, JY; Huang, WS",http://dx.doi.org/10.1126/sciadv.adj7052
Diet of brown hyaenas (Parahyaena brunnea) on the Namibian coast,Kuhn et al (2010),http://www.tandfonline.com/doi/abs/10.1080/00359190809519219
Behaviour of two male jaguars scavenging on a marine dolphin in Honduras,Castañeda et al (2013),https://www.academia.edu/5914704/Male_Jaguars_scavenging_on_a_marine_dolphin_carcass_in_northwestern_Honduras
